iter	Passed	Remaining
409	4205	6051
410	4214	6040
411	4224	6029
412	4234	6019
413	4244	6007
414	4254	5997
415	4263	5985
416	4271	5971
417	4281	5961
418	4290	5949
419	4301	5940
420	4311	5929
421	4320	5918
422	4331	5908
423	4341	5898
424	4350	5886
425	4361	5876
426	4370	5864
427	4380	5853
428	4388	5841
429	4397	5829
430	4406	5816
431	4414	5804
432	4424	5793
433	4433	5782
434	4442	5770
435	4451	5758
436	4460	5746
437	4469	5734
438	4477	5722
439	4487	5711
440	4498	5701
441	4507	5690
442	4516	5678
443	4526	5668
444	4536	5657
445	4545	5646
446	4556	5636
447	4566	5627
448	4576	5615
449	4585	5604
450	4594	5593
451	4604	5582
452	4613	5571
453	4623	5559
454	4631	5547
455	4640	5536
456	4650	5525
457	4660	5514
458	4668	5502
459	4677	5490
460	4687	5480
461	4696	5468
462	4705	5456
463	4713	5444
464	4723	5434
465	4733	5423
466	4742	5412
467	4753	5403
468	4762	5392
469	4772	5382
470	4781	5369
471	4790	5358
472	4799	5347
473	4808	5336
474	4817	5325
475	4827	5313
476	4836	5302
477	4844	5290
478	4854	5280
479	4863	5268
480	4871	5256
481	4881	5245
482	4889	5233
483	4898	5222
484	4907	5211
485	4917	5200
486	4928	5191
487	4937	5180
488	4947	5169
489	4956	5159
490	4966	5148
491	4975	5137
492	4985	5126
493	4995	5116
494	5004	5105
495	5015	5096
496	5025	5086
497	5035	5075
498	5044	5064
499	5053	5053
500	5063	5042
501	5072	5032
502	5083	5022
503	5092	5011
504	5101	5000
505	5110	4989
506	5119	4978
507	5129	4968
508	5138	4957
509	5149	4947
510	5159	4937
511	5168	4926
512	5177	4915
513	5186	4904
514	5197	4894
515	5206	4883
516	5214	4872
517	5224	4861
518	5233	4850
519	5242	4839
520	5252	4828
521	5261	4817
522	5270	4806
523	5279	4795
524	5289	4785
525	5300	4776
526	5310	4765
527	5319	4755
528	5328	4744
529	5338	4733
530	5347	4723
531	5357	4713
532	5367	4703
533	5378	4693
534	5387	4682
535	5398	4673
536	5407	4662
537	5418	4652
538	5426	4641
539	5435	4630
540	5444	4619
541	5453	4608
542	5461	4596
543	5471	4586
544	5480	4575
545	5491	4566
546	5502	4556
547	5510	4545
548	5521	4535
549	5531	4525
