iter	MultiClass
208	0.603677146
209	0.6034809209
210	0.6032056678
211	0.6028586915
212	0.602618587
213	0.6024449457
214	0.6021819804
215	0.6018566604
216	0.6016952814
217	0.6014592676
218	0.6012775353
219	0.6009470759
220	0.600673218
221	0.6005111024
222	0.6003613101
223	0.6001936923
224	0.6000128279
225	0.599824448
226	0.599571257
227	0.5993441134
228	0.599107408
229	0.5989032285
230	0.5986981497
231	0.5985278431
232	0.5983489863
233	0.5981668843
234	0.5979247801
235	0.5977479064
236	0.5975292793
237	0.5972873049
238	0.5970680003
239	0.5969521264
240	0.5967959147
241	0.5965427003
242	0.5964298664
243	0.5961852546
244	0.5960256864
245	0.5958598197
246	0.5956370046
247	0.5954137303
248	0.5952801612
249	0.5950300157
250	0.5948014599
251	0.5946321955
252	0.5944336528
253	0.5942785644
254	0.5940704696
255	0.5939092658
256	0.5937191662
257	0.5935632521
258	0.593328022
259	0.5931779551
260	0.5930530126
261	0.5928778243
262	0.5927228856
263	0.5925396892
264	0.5923963928
265	0.592202437
266	0.5920676742
267	0.591897954
268	0.5917187167
269	0.5915204498
270	0.5913777801
271	0.5912343874
272	0.5910791224
273	0.5909256484
274	0.5907777038
275	0.5906417647
276	0.5905263448
277	0.5904220444
278	0.5902901498
279	0.5900799659
280	0.589938991
281	0.5897270702
282	0.5896043857
283	0.5894662077
284	0.589332406
285	0.5891939542
286	0.5890020047
287	0.5888203682
288	0.5885423716
289	0.5884005417
290	0.5882855001
291	0.5881558099
292	0.5880240871
293	0.5878390874
294	0.5877555613
295	0.5876226626
296	0.5874956673
297	0.5874011914
298	0.587223943
299	0.5870828174
300	0.5869568169
301	0.5868620086
302	0.5866156858
303	0.5864439544
304	0.586336758
305	0.5860984186
306	0.5859827157
307	0.5858240736
308	0.5857089128
309	0.585604209
310	0.5854896363
311	0.5853710426
312	0.5852357536
313	0.5850849356
314	0.5849723166
315	0.5848212414
316	0.5846783062
317	0.5846068048
318	0.5844579961
319	0.5843048324
320	0.5841963049
321	0.5839570513
322	0.5838501753
323	0.5837452475
324	0.5835819182
325	0.5834828354
326	0.5832867489
327	0.5831882616
328	0.5831014094
329	0.5829935037
330	0.5828637842
331	0.5826915283
332	0.5825292003
333	0.5824257841
334	0.5823443611
